Title,Year,Rating,Imdb,Time,Location
Hesher,2010,6,6.9,1:46,Drawer H
Hidalgo,2004,6,6.7,2:16,Coffin 
High Fidelity,2000,9,7.5,1:53,Shelf
High Roller,2003,5,6.1,1:50,Coffin
Hitch,2005,7,6.6,1:58,
Hollywood Ending,2002,6,6.5,1:52,Drawer H
Holy Water,2009,6,5.9,1:34,Drawer
Homicide the movie,2000,6,7.8,1:28,Drawer
Honey,2003,6,5.4,1:34,
Hooking up,2009,,2.6,1:35,Box
Hooligans,2005,9,7.4,1:49,Drawer H
Hope Springs,2012,,6.3,1:40,Box
Horrible Bosses,2011,8,6.9,1:38,Drawer H
Horrible Bosses 2,2014,6,6.3,1:48,Drawer H
Horsemen of the apocalypse,2009,,5.6,1:30,Coffin
Hostage,2005,,6.5,1:53,Box
Hotet inifrån,2006,6,6.1,1:48,
House season 1,2004,8,8.7,0:45,
How do you know,2010,6,5.4,2:01,Drawer
How to be single,2016,,6.1,1:50,Box
How to loose friends & alienate people ,2008,,6.4,1:50,Box
How to lose a guy in 10 days,2003,6,6.5,1:56,Drawer H
I am legend,2007,6,7.2,1:41,
I am Sam,2001,10,7.6,2:12,Drawer
I don't know how she does it,2011,,5,1:29,Box
"I love you, man",2009,6,7,1:45,Drawer H
I saw the light,2015,6,5.8,2:03,Coffin
I skuggan av Bronx,1993,8,7.8,2:01,Drawer
I spit on your grave,2010,7,6.2,1:48,
I-Spy,2002,5,5.4,1:37,coffin
I'm Not There,2007,,6.9,2:15,Coffin
Identity of a Killer,2010,,6.6,1:54,Drawer
Illusionisten,2006,7,7.6,1:50,Coffin
Immortal,2004,,6,1:43,Spider
Imogene (Girl most likely),2012,,5.7,1:43,Box
In a world,2013,6,6.6,1:33,Drawer H
In Bruges,2008,7,7.9,1:47,
In good company,2004,6,6.4,1:49,
In her shoes,2005,7,6.5,2:10,Drawer H
In search of a midnight kiss,2007,7,7.2,1:30,Drawer
In the beedrom,2001,,7.4,2:11,Box
In the cut,2003,7,5.4,1:59,Drawer H
In the valley of elah,2007,6,7.1,2:01,Drawer H
Inception,2010,7,8.8,2:28,
Inferno,1999,,5.2,1:35,Box
Inglorius Basterds,2009,9,8.4,2:33,Shelf
Inhale,2010,7,6.5,1:23,Drawer H
Inside Man,2006,7,7.6,2:09,Drawer
Insider,1999,6,7.8,2:37,
Interview,2007,8,6.8,1:24,Coffin
Interview with the wampire,1994,8,7.5,2:03,Drawer H
Into the wild,2007,9,8.1,2:28,Shelf
Intolerable Cruelty,2003,6,6.3,1:40,Drawer
Invincible,2006,6,7,1:45,
It's all about love,2003,5,5.3,1:46,
It's all gone Pete Tong,2004,6,7.3,1:30,Spider
It´s kind of a funny story,2010,,7.1,1:41,Box
Ivans xtc.,2000,5,6.5,1:33,
Jack Reacher,2012,,7,2:10,Box
Jackie & Ryan,2014,7,5.9,1:30,Drawer
Jackie Brown,1997,8,7.5,2:34,Shelf
James White,2015,,7.1,1:25,Box
Jane Doe,1995,7,4.6,1:32,
Jarhead,2005,6,7,2:05,Drawer
Jawbone,2017,5,6.4,1:31,Drawer H
Jay and Silent Bob do Degrassi,2005,7,5.4,1:13,Coffin
Jay and Silent Bob strike back,2001,10,6.8,1:44,Shelf
JCVD,2008,5,7.1,1:37,Coffin
Jeepers Creepers ,2001,,6.2,1:30,Box
Jeff who lives at home,2011,,6.4,1:23,Box
Jem and the Holograms,2015,4,4.2,1:58,Coffin
Jersey Girl,2004,9,6.2,1:42,Shelf
Joe Kid,1972,,6.5,1:28,Coffin
John Tucker must die,2006,6,5.7,1:29,Drawer H
Jojo Rabbit,2019,7,7.9,1:48,Coffin
Joy,2015,6,6.6,2:04,Drawer H
Julia,2008,7,7,2:24,Drawer H
Julie & Julia,2009,7,7,2:03,Coffin 
Junebug,2005,8,6.9,1:46,Drawer
Juno,2007,8,7.5,1:36,
Just go with it,2011,7,6.4,1:57,Drawer H
Just my luck,2006,6,5.4,1:43,
Kärlek i Detroit,2012,6,6.7,1:34,Drawer
Kärlek i New York,2010,8,6.7,1:40,Drawer H
Kicking and screaming,2005,6,5.6,1:35,
Kill Bill vol.2,2004,8,8,2.17,Shelf
Kill Bill volume 1,2003,8,8.2,1:51,Shelf
Kill Theory,2009,5,5.3,1:25,
Killer Deadline,2002,6,6,1:44,Drawer H
Killer Joe,2011,7,6.7,1:42,Box
Killing Zoe ,1993,9,6.4,1:36,Shelf
Killshot,2008,5,6,1:35,Coffin
King Arthur,2004,6,6.3,2:06,Coffin 
King of New York,1990,6,6.9,1:43,
King of thieves,2018,,5.6,1:48,Box
Kings of Crime,2005,6,7.2,2:32,Drawer
KIngs of South Beach,2007,5,5.2,1:30,Drawer H
Köpmannen i Venedig,2004,,7,2:11,Spider
Kung Fu hustle,2004,,7.8,1:39,Spider
Ladder 49,2004,9,6.5,1:55,Coffin
Lady Bird,2017,6,7.4,1:34,
Lakeview Terrace,2008,7,6.2,1:50,Drawer
Last chance Harvey,2008,,6.6,1:33,Box
Last days of summer,2009,,5.1,1:25,Box
Last passenger,2013,,5.7,1:37,Box
Layer Cake,2004,6,7.3,1:45,Spider
Leatherheads,2008,,6,1:54,Box
Leaves of grass,2009,,6.4,1:45,Box
Legend,2015,7,6.9,2:12,Box
Leon,1994,9,8.6,1:50,Shelf
Lethal Weapon 3,1992,,6.7,1:58,Box
